FORWARD_CHAIN req=32 -> candidate=req30 chain_day=3
COMMIT req=32 type=1 delivery=1 pickup=3
COMMIT req=131 type=1 delivery=11 pickup=13 chained_from=req309
BACKWARDS_EXTEND req=90 onto pool day=15 type=1
COMMIT req=90 type=1 delivery=15 pickup=16 chained_from=req25
BACKWARDS_EXTEND req=328 onto pool day=6 type=1
COMMIT req=328 type=1 delivery=6 pickup=7 chained_from=req30
BACKWARDS_EXTEND req=134 onto pool day=9 type=1
COMMIT req=134 type=1 delivery=9 pickup=11 chained_from=req428
BACKWARDS_EXTEND req=346 onto pool day=7 type=1
COMMIT req=346 type=1 delivery=7 pickup=9 chained_from=req93
BACKWARDS_EXTEND req=322 onto pool day=12 type=1
COMMIT req=322 type=1 delivery=12 pickup=13 chained_from=req83
BACKWARDS_EXTEND req=305 onto pool day=11 type=1
COMMIT req=305 type=1 delivery=11 pickup=13 chained_from=req309
BACKWARDS_EXTEND req=185 onto pool day=15 type=1
COMMIT req=185 type=1 delivery=15 pickup=17 chained_from=req25
BACKWARDS_EXTEND req=190 onto pool day=10 type=1
COMMIT req=190 type=1 delivery=10 pickup=12 chained_from=req126
BACKWARDS_EXTEND req=108 onto pool day=13 type=1
COMMIT req=108 type=1 delivery=13 pickup=16 chained_from=req159
BACKWARDS_EXTEND req=298 onto pool day=16 type=1
COMMIT req=298 type=1 delivery=16 pickup=19 chained_from=req90
BACKWARDS_EXTEND req=38 onto pool day=6 type=1
COMMIT req=38 type=1 delivery=6 pickup=8 chained_from=req30
BACKWARDS_EXTEND req=423 onto pool day=9 type=1
COMMIT req=423 type=1 delivery=9 pickup=12 chained_from=req428
BACKWARDS_EXTEND req=257 onto pool day=7 type=1
COMMIT req=257 type=1 delivery=7 pickup=10 chained_from=req93
BACKWARDS_EXTEND req=246 onto pool day=12 type=1
COMMIT req=246 type=1 delivery=12 pickup=15 chained_from=req83
BACKWARDS_EXTEND req=85 onto pool day=11 type=1
COMMIT req=85 type=1 delivery=11 pickup=12 chained_from=req309
BACKWARDS_EXTEND req=330 onto pool day=15 type=1
COMMIT req=330 type=1 delivery=15 pickup=17 chained_from=req25
BACKWARDS_EXTEND req=417 onto pool day=10 type=1
COMMIT req=417 type=1 delivery=10 pickup=11 chained_from=req126
BACKWARDS_EXTEND req=11 onto pool day=13 type=1
COMMIT req=11 type=1 delivery=13 pickup=16 chained_from=req159
BACKWARDS_EXTEND req=1 onto pool day=16 type=1
COMMIT req=1 type=1 delivery=16 pickup=18 chained_from=req90
BACKWARDS_EXTEND req=174 onto pool day=17 type=1
COMMIT req=174 type=1 delivery=17 pickup=20 chained_from=req185
BACKWARDS_EXTEND req=95 onto pool day=19 type=1
COMMIT req=95 type=1 delivery=19 pickup=20 chained_from=req298
BACKWARDS_EXTEND req=80 onto pool day=6 type=1
COMMIT req=80 type=1 delivery=6 pickup=7 chained_from=req30
BACKWARDS_EXTEND req=481 onto pool day=9 type=1
COMMIT req=481 type=1 delivery=9 pickup=10 chained_from=req428
BACKWARDS_EXTEND req=157 onto pool day=7 type=1
COMMIT req=157 type=1 delivery=7 pickup=8 chained_from=req93
BACKWARDS_EXTEND req=319 onto pool day=12 type=1
COMMIT req=319 type=1 delivery=12 pickup=13 chained_from=req83
BACKWARDS_EXTEND req=301 onto pool day=11 type=1
COMMIT req=301 type=1 delivery=11 pickup=13 chained_from=req309
BACKWARDS_EXTEND req=99 onto pool day=15 type=1
COMMIT req=99 type=1 delivery=15 pickup=17 chained_from=req25
BACKWARDS_EXTEND req=19 onto pool day=10 type=1
COMMIT req=19 type=1 delivery=10 pickup=11 chained_from=req126
BACKWARDS_EXTEND req=286 onto pool day=13 type=1
COMMIT req=286 type=1 delivery=13 pickup=16 chained_from=req159
BACKWARDS_EXTEND req=143 onto pool day=16 type=1
COMMIT req=143 type=1 delivery=16 pickup=17 chained_from=req90
BACKWARDS_EXTEND req=77 onto pool day=17 type=1
COMMIT req=77 type=1 delivery=17 pickup=20 chained_from=req185
BACKWARDS_EXTEND req=124 onto pool day=19 type=1
COMMIT req=124 type=1 delivery=19 pickup=22 chained_from=req298
BACKWARDS_EXTEND req=167 onto pool day=8 type=1
COMMIT req=167 type=1 delivery=8 pickup=11 chained_from=req38
BACKWARDS_EXTEND req=2 onto pool day=18 type=1
COMMIT req=2 type=1 delivery=18 pickup=19 chained_from=req1
BACKWARDS_EXTEND req=5 onto pool day=20 type=1
COMMIT req=5 type=1 delivery=20 pickup=23 chained_from=req174
BACKWARDS_EXTEND req=204 onto pool day=6 type=1
COMMIT req=204 type=1 delivery=6 pickup=9 chained_from=req30
BACKWARDS_EXTEND req=244 onto pool day=9 type=1
COMMIT req=244 type=1 delivery=9 pickup=12 chained_from=req428
BACKWARDS_EXTEND req=179 onto pool day=7 type=1
COMMIT req=179 type=1 delivery=7 pickup=10 chained_from=req93
BACKWARDS_EXTEND req=388 onto pool day=12 type=1
COMMIT req=388 type=1 delivery=12 pickup=15 chained_from=req83
BACKWARDS_EXTEND req=409 onto pool day=11 type=1
COMMIT req=409 type=1 delivery=11 pickup=14 chained_from=req309
BACKWARDS_EXTEND req=224 onto pool day=15 type=1
COMMIT req=224 type=1 delivery=15 pickup=18 chained_from=req25
BACKWARDS_EXTEND req=313 onto pool day=10 type=1
COMMIT req=313 type=1 delivery=10 pickup=13 chained_from=req126
BACKWARDS_EXTEND req=292 onto pool day=13 type=1
COMMIT req=292 type=1 delivery=13 pickup=16 chained_from=req159
BACKWARDS_EXTEND req=147 onto pool day=16 type=1
COMMIT req=147 type=1 delivery=16 pickup=18 chained_from=req90
BACKWARDS_EXTEND req=228 onto pool day=17 type=1
COMMIT req=228 type=1 delivery=17 pickup=20 chained_from=req185
BACKWARDS_EXTEND req=27 onto pool day=19 type=1
COMMIT req=27 type=1 delivery=19 pickup=20 chained_from=req298
BACKWARDS_EXTEND req=350 onto pool day=8 type=1
COMMIT req=350 type=1 delivery=8 pickup=10 chained_from=req38
BACKWARDS_EXTEND req=45 onto pool day=18 type=1
COMMIT req=45 type=1 delivery=18 pickup=20 chained_from=req1
BACKWARDS_EXTEND req=118 onto pool day=20 type=1
COMMIT req=118 type=1 delivery=20 pickup=23 chained_from=req174
BACKWARDS_EXTEND req=121 onto pool day=22 type=1
COMMIT req=121 type=1 delivery=22 pickup=25 chained_from=req124
BACKWARDS_EXTEND req=34 onto pool day=23 type=1
COMMIT req=34 type=1 delivery=23 pickup=25 chained_from=req5
BACKWARDS_EXTEND req=354 onto pool day=6 type=1
COMMIT req=354 type=1 delivery=6 pickup=8 chained_from=req30
BACKWARDS_EXTEND req=486 onto pool day=9 type=1
COMMIT req=486 type=1 delivery=9 pickup=12 chained_from=req428
BACKWARDS_EXTEND req=360 onto pool day=7 type=1
COMMIT req=360 type=1 delivery=7 pickup=10 chained_from=req93
BACKWARDS_EXTEND req=479 onto pool day=12 type=1
COMMIT req=479 type=1 delivery=12 pickup=15 chained_from=req83
BACKWARDS_EXTEND req=414 onto pool day=11 type=1
COMMIT req=414 type=1 delivery=11 pickup=13 chained_from=req309
BACKWARDS_EXTEND req=348 onto pool day=15 type=1
COMMIT req=348 type=1 delivery=15 pickup=16 chained_from=req25
BACKWARDS_EXTEND req=500 onto pool day=10 type=1
COMMIT req=500 type=1 delivery=10 pickup=12 chained_from=req126
BACKWARDS_EXTEND req=435 onto pool day=13 type=1
COMMIT req=435 type=1 delivery=13 pickup=15 chained_from=req159
BACKWARDS_EXTEND req=264 onto pool day=16 type=1
COMMIT req=264 type=1 delivery=16 pickup=17 chained_from=req90
BACKWARDS_EXTEND req=252 onto pool day=17 type=1
COMMIT req=252 type=1 delivery=17 pickup=18 chained_from=req185
BACKWARDS_EXTEND req=166 onto pool day=19 type=1
COMMIT req=166 type=1 delivery=19 pickup=22 chained_from=req298
BACKWARDS_EXTEND req=375 onto pool day=8 type=1
COMMIT req=375 type=1 delivery=8 pickup=10 chained_from=req38
BACKWARDS_EXTEND req=144 onto pool day=18 type=1
COMMIT req=144 type=1 delivery=18 pickup=21 chained_from=req1
BACKWARDS_EXTEND req=152 onto pool day=20 type=1
COMMIT req=152 type=1 delivery=20 pickup=21 chained_from=req174
BACKWARDS_EXTEND req=146 onto pool day=22 type=1
COMMIT req=146 type=1 delivery=22 pickup=24 chained_from=req124
BACKWARDS_EXTEND req=139 onto pool day=23 type=1
COMMIT req=139 type=1 delivery=23 pickup=24 chained_from=req5
BACKWARDS_EXTEND req=75 onto pool day=14 type=1
COMMIT req=75 type=1 delivery=14 pickup=17 chained_from=req409
BACKWARDS_EXTEND req=390 onto pool day=6 type=1
COMMIT req=390 type=1 delivery=6 pickup=7 chained_from=req30
BACKWARDS_EXTEND req=465 onto pool day=9 type=1
COMMIT req=465 type=1 delivery=9 pickup=11 chained_from=req428
BACKWARDS_EXTEND req=425 onto pool day=7 type=1
COMMIT req=425 type=1 delivery=7 pickup=8 chained_from=req93
BACKWARDS_EXTEND req=450 onto pool day=12 type=1
COMMIT req=450 type=1 delivery=12 pickup=14 chained_from=req83
BACKWARDS_EXTEND req=221 onto pool day=11 type=1
COMMIT req=221 type=1 delivery=11 pickup=13 chained_from=req309
BACKWARDS_EXTEND req=349 onto pool day=15 type=1
COMMIT req=349 type=1 delivery=15 pickup=17 chained_from=req25
BACKWARDS_EXTEND req=487 onto pool day=13 type=1
COMMIT req=487 type=1 delivery=13 pickup=14 chained_from=req159
BACKWARDS_EXTEND req=331 onto pool day=16 type=1
COMMIT req=331 type=1 delivery=16 pickup=19 chained_from=req90
BACKWARDS_EXTEND req=359 onto pool day=17 type=1
COMMIT req=359 type=1 delivery=17 pickup=20 chained_from=req185
BACKWARDS_EXTEND req=155 onto pool day=19 type=1
COMMIT req=155 type=1 delivery=19 pickup=22 chained_from=req298
BACKWARDS_EXTEND req=498 onto pool day=8 type=1
COMMIT req=498 type=1 delivery=8 pickup=11 chained_from=req38
BACKWARDS_EXTEND req=334 onto pool day=18 type=1
COMMIT req=334 type=1 delivery=18 pickup=20 chained_from=req1
BACKWARDS_EXTEND req=154 onto pool day=20 type=1
COMMIT req=154 type=1 delivery=20 pickup=22 chained_from=req174
BACKWARDS_EXTEND req=119 onto pool day=22 type=1
COMMIT req=119 type=1 delivery=22 pickup=24 chained_from=req124
BACKWARDS_EXTEND req=374 onto pool day=23 type=1
COMMIT req=374 type=1 delivery=23 pickup=25 chained_from=req5
BACKWARDS_EXTEND req=87 onto pool day=14 type=1
COMMIT req=87 type=1 delivery=14 pickup=15 chained_from=req409
BACKWARDS_EXTEND req=55 onto pool day=21 type=1
COMMIT req=55 type=1 delivery=21 pickup=23 chained_from=req144
BACKWARDS_EXTEND req=237 onto pool day=24 type=1
COMMIT req=237 type=1 delivery=24 pickup=25 chained_from=req146
BACKWARDS_EXTEND req=494 onto pool day=12 type=1
COMMIT req=494 type=1 delivery=12 pickup=14 chained_from=req83
BACKWARDS_EXTEND req=223 onto pool day=11 type=1
COMMIT req=223 type=1 delivery=11 pickup=13 chained_from=req309
BACKWARDS_EXTEND req=429 onto pool day=15 type=1
COMMIT req=429 type=1 delivery=15 pickup=18 chained_from=req25
BACKWARDS_EXTEND req=207 onto pool day=13 type=1
COMMIT req=207 type=1 delivery=13 pickup=16 chained_from=req159
BACKWARDS_EXTEND req=358 onto pool day=16 type=1
COMMIT req=358 type=1 delivery=16 pickup=17 chained_from=req90
BACKWARDS_EXTEND req=482 onto pool day=17 type=1
COMMIT req=482 type=1 delivery=17 pickup=20 chained_from=req185
BACKWARDS_EXTEND req=58 onto pool day=19 type=1
COMMIT req=58 type=1 delivery=19 pickup=20 chained_from=req298
BACKWARDS_EXTEND req=384 onto pool day=18 type=1
COMMIT req=384 type=1 delivery=18 pickup=19 chained_from=req1
BACKWARDS_EXTEND req=198 onto pool day=20 type=1
COMMIT req=198 type=1 delivery=20 pickup=23 chained_from=req174
BACKWARDS_EXTEND req=120 onto pool day=22 type=1
COMMIT req=120 type=1 delivery=22 pickup=25 chained_from=req124
BACKWARDS_EXTEND req=437 onto pool day=23 type=1
COMMIT req=437 type=1 delivery=23 pickup=25 chained_from=req5
BACKWARDS_EXTEND req=234 onto pool day=14 type=1
COMMIT req=234 type=1 delivery=14 pickup=15 chained_from=req409
BACKWARDS_EXTEND req=133 onto pool day=21 type=1
COMMIT req=133 type=1 delivery=21 pickup=24 chained_from=req144
BACKWARDS_EXTEND req=456 onto pool day=24 type=1
COMMIT req=456 type=1 delivery=24 pickup=25 chained_from=req146
BACKWARDS_EXTEND req=289 onto pool day=12 type=1
COMMIT req=289 type=1 delivery=12 pickup=15 chained_from=req83
BACKWARDS_EXTEND req=377 onto pool day=11 type=1
COMMIT req=377 type=1 delivery=11 pickup=14 chained_from=req309
BACKWARDS_EXTEND req=407 onto pool day=15 type=1
COMMIT req=407 type=1 delivery=15 pickup=17 chained_from=req25
BACKWARDS_EXTEND req=293 onto pool day=13 type=1
COMMIT req=293 type=1 delivery=13 pickup=16 chained_from=req159
BACKWARDS_EXTEND req=455 onto pool day=16 type=1
COMMIT req=455 type=1 delivery=16 pickup=17 chained_from=req90
BACKWARDS_EXTEND req=466 onto pool day=17 type=1
COMMIT req=466 type=1 delivery=17 pickup=20 chained_from=req185
BACKWARDS_EXTEND req=128 onto pool day=19 type=1
COMMIT req=128 type=1 delivery=19 pickup=22 chained_from=req298
BACKWARDS_EXTEND req=497 onto pool day=18 type=1
COMMIT req=497 type=1 delivery=18 pickup=21 chained_from=req1
BACKWARDS_EXTEND req=287 onto pool day=20 type=1
COMMIT req=287 type=1 delivery=20 pickup=22 chained_from=req174
BACKWARDS_EXTEND req=323 onto pool day=22 type=1
COMMIT req=323 type=1 delivery=22 pickup=25 chained_from=req124
BACKWARDS_EXTEND req=448 onto pool day=23 type=1
COMMIT req=448 type=1 delivery=23 pickup=25 chained_from=req5
BACKWARDS_EXTEND req=393 onto pool day=14 type=1
COMMIT req=393 type=1 delivery=14 pickup=15 chained_from=req409
BACKWARDS_EXTEND req=150 onto pool day=21 type=1
COMMIT req=150 type=1 delivery=21 pickup=22 chained_from=req144
BACKWARDS_EXTEND req=397 onto pool day=12 type=1
COMMIT req=397 type=1 delivery=12 pickup=15 chained_from=req83
BACKWARDS_EXTEND req=332 onto pool day=19 type=1
COMMIT req=332 type=1 delivery=19 pickup=22 chained_from=req298
BACKWARDS_EXTEND req=351 onto pool day=20 type=1
COMMIT req=351 type=1 delivery=20 pickup=23 chained_from=req174
BACKWARDS_EXTEND req=338 onto pool day=22 type=1
COMMIT req=338 type=1 delivery=22 pickup=23 chained_from=req124
BACKWARDS_EXTEND req=171 onto pool day=21 type=1
COMMIT req=171 type=1 delivery=21 pickup=22 chained_from=req144
BACKWARDS_EXTEND req=438 onto pool day=19 type=1
COMMIT req=438 type=1 delivery=19 pickup=22 chained_from=req298
BACKWARDS_EXTEND req=318 onto pool day=20 type=1
COMMIT req=318 type=1 delivery=20 pickup=23 chained_from=req174
BACKWARDS_EXTEND req=453 onto pool day=22 type=1
COMMIT req=453 type=1 delivery=22 pickup=25 chained_from=req124
BACKWARDS_EXTEND req=490 onto pool day=21 type=1
COMMIT req=490 type=1 delivery=21 pickup=24 chained_from=req144
FORWARD_CHAIN req=82 -> candidate=req49 chain_day=3
COMMIT req=82 type=1 delivery=1 pickup=3
COMMIT req=49 type=1 delivery=3 pickup=6 chained_from=req82
BACKWARDS_EXTEND req=91 onto pool day=3 type=1
COMMIT req=91 type=1 delivery=3 pickup=4 chained_from=req32
BACKWARDS_EXTEND req=493 onto pool day=3 type=1
COMMIT req=493 type=1 delivery=3 pickup=4 chained_from=req32
BACKWARDS_EXTEND req=53 onto pool day=4 type=1
COMMIT req=53 type=1 delivery=4 pickup=5 chained_from=req91
BACKWARDS_EXTEND req=67 onto pool day=3 type=1
COMMIT req=67 type=1 delivery=3 pickup=4 chained_from=req32
BACKWARDS_EXTEND req=59 onto pool day=5 type=1
COMMIT req=59 type=1 delivery=5 pickup=6 chained_from=req188
BACKWARDS_EXTEND req=84 onto pool day=4 type=1
COMMIT req=84 type=1 delivery=4 pickup=7 chained_from=req91
BACKWARDS_EXTEND req=162 onto pool day=3 type=1
COMMIT req=162 type=1 delivery=3 pickup=6 chained_from=req32
BACKWARDS_EXTEND req=102 onto pool day=5 type=1
COMMIT req=102 type=1 delivery=5 pickup=6 chained_from=req188
BACKWARDS_EXTEND req=240 onto pool day=4 type=1
COMMIT req=240 type=1 delivery=4 pickup=5 chained_from=req91
BACKWARDS_EXTEND req=422 onto pool day=3 type=1
COMMIT req=422 type=1 delivery=3 pickup=4 chained_from=req32
BACKWARDS_EXTEND req=269 onto pool day=5 type=1
COMMIT req=269 type=1 delivery=5 pickup=8 chained_from=req188
BACKWARDS_EXTEND req=279 onto pool day=4 type=1
COMMIT req=279 type=1 delivery=4 pickup=6 chained_from=req91
BACKWARDS_EXTEND req=394 onto pool day=3 type=1
COMMIT req=394 type=1 delivery=3 pickup=5 chained_from=req32
FALLBACK req=161 type=1 delivery=1
COMMIT req=161 type=1 delivery=1 pickup=2
FALLBACK req=225 type=1 delivery=1
COMMIT req=225 type=1 delivery=1 pickup=3
FORWARD_CHAIN req=110 -> candidate=req37 chain_day=4
COMMIT req=110 type=2 delivery=1 pickup=4
COMMIT req=37 type=2 delivery=4 pickup=6 chained_from=req110
BACKWARDS_EXTEND req=342 onto pool day=4 type=2
COMMIT req=342 type=2 delivery=4 pickup=5 chained_from=req110
BACKWARDS_EXTEND req=41 onto pool day=6 type=2
COMMIT req=41 type=2 delivery=6 pickup=8 chained_from=req37
BACKWARDS_EXTEND req=43 onto pool day=4 type=2
COMMIT req=43 type=2 delivery=4 pickup=5 chained_from=req110
BACKWARDS_EXTEND req=89 onto pool day=6 type=2
COMMIT req=89 type=2 delivery=6 pickup=9 chained_from=req37
BACKWARDS_EXTEND req=333 onto pool day=5 type=2
COMMIT req=333 type=2 delivery=5 pickup=6 chained_from=req342
BACKWARDS_EXTEND req=214 onto pool day=8 type=2
COMMIT req=214 type=2 delivery=8 pickup=11 chained_from=req41
BACKWARDS_EXTEND req=403 onto pool day=4 type=2
COMMIT req=403 type=2 delivery=4 pickup=5 chained_from=req110
BACKWARDS_EXTEND req=63 onto pool day=6 type=2
COMMIT req=63 type=2 delivery=6 pickup=8 chained_from=req37
BACKWARDS_EXTEND req=29 onto pool day=5 type=2
COMMIT req=29 type=2 delivery=5 pickup=8 chained_from=req342
BACKWARDS_EXTEND req=413 onto pool day=8 type=2
COMMIT req=413 type=2 delivery=8 pickup=11 chained_from=req41
BACKWARDS_EXTEND req=227 onto pool day=9 type=2
COMMIT req=227 type=2 delivery=9 pickup=11 chained_from=req89
BACKWARDS_EXTEND req=148 onto pool day=11 type=2
COMMIT req=148 type=2 delivery=11 pickup=13 chained_from=req214
BACKWARDS_EXTEND req=194 onto pool day=4 type=2
COMMIT req=194 type=2 delivery=4 pickup=6 chained_from=req110
BACKWARDS_EXTEND req=116 onto pool day=6 type=2
COMMIT req=116 type=2 delivery=6 pickup=9 chained_from=req37
BACKWARDS_EXTEND req=64 onto pool day=5 type=2
COMMIT req=64 type=2 delivery=5 pickup=8 chained_from=req342
BACKWARDS_EXTEND req=3 onto pool day=8 type=2
COMMIT req=3 type=2 delivery=8 pickup=11 chained_from=req41
BACKWARDS_EXTEND req=364 onto pool day=9 type=2
COMMIT req=364 type=2 delivery=9 pickup=12 chained_from=req89
BACKWARDS_EXTEND req=10 onto pool day=11 type=2
COMMIT req=10 type=2 delivery=11 pickup=14 chained_from=req214
BACKWARDS_EXTEND req=86 onto pool day=13 type=2
COMMIT req=86 type=2 delivery=13 pickup=14 chained_from=req148
BACKWARDS_EXTEND req=454 onto pool day=4 type=2
COMMIT req=454 type=2 delivery=4 pickup=6 chained_from=req110
BACKWARDS_EXTEND req=160 onto pool day=6 type=2
COMMIT req=160 type=2 delivery=6 pickup=9 chained_from=req37
BACKWARDS_EXTEND req=142 onto pool day=5 type=2
COMMIT req=142 type=2 delivery=5 pickup=8 chained_from=req342
BACKWARDS_EXTEND req=13 onto pool day=8 type=2
COMMIT req=13 type=2 delivery=8 pickup=9 chained_from=req41
BACKWARDS_EXTEND req=33 onto pool day=9 type=2
COMMIT req=33 type=2 delivery=9 pickup=10 chained_from=req89
BACKWARDS_EXTEND req=50 onto pool day=11 type=2
COMMIT req=50 type=2 delivery=11 pickup=14 chained_from=req214
BACKWARDS_EXTEND req=158 onto pool day=13 type=2
COMMIT req=158 type=2 delivery=13 pickup=14 chained_from=req148
BACKWARDS_EXTEND req=213 onto pool day=12 type=2
COMMIT req=213 type=2 delivery=12 pickup=13 chained_from=req364
BACKWARDS_EXTEND req=23 onto pool day=14 type=2
COMMIT req=23 type=2 delivery=14 pickup=16 chained_from=req10
BACKWARDS_EXTEND req=211 onto pool day=6 type=2
COMMIT req=211 type=2 delivery=6 pickup=8 chained_from=req37
BACKWARDS_EXTEND req=256 onto pool day=5 type=2
COMMIT req=256 type=2 delivery=5 pickup=6 chained_from=req342
BACKWARDS_EXTEND req=24 onto pool day=8 type=2
COMMIT req=24 type=2 delivery=8 pickup=10 chained_from=req41
BACKWARDS_EXTEND req=115 onto pool day=9 type=2
COMMIT req=115 type=2 delivery=9 pickup=10 chained_from=req89
BACKWARDS_EXTEND req=172 onto pool day=11 type=2
COMMIT req=172 type=2 delivery=11 pickup=14 chained_from=req214
BACKWARDS_EXTEND req=105 onto pool day=13 type=2
COMMIT req=105 type=2 delivery=13 pickup=15 chained_from=req148
BACKWARDS_EXTEND req=329 onto pool day=12 type=2
COMMIT req=329 type=2 delivery=12 pickup=14 chained_from=req364
BACKWARDS_EXTEND req=92 onto pool day=14 type=2
COMMIT req=92 type=2 delivery=14 pickup=15 chained_from=req10
BACKWARDS_EXTEND req=18 onto pool day=10 type=2
COMMIT req=18 type=2 delivery=10 pickup=13 chained_from=req33
BACKWARDS_EXTEND req=106 onto pool day=16 type=2
COMMIT req=106 type=2 delivery=16 pickup=18 chained_from=req23
BACKWARDS_EXTEND req=217 onto pool day=6 type=2
COMMIT req=217 type=2 delivery=6 pickup=7 chained_from=req37
BACKWARDS_EXTEND req=277 onto pool day=5 type=2
COMMIT req=277 type=2 delivery=5 pickup=7 chained_from=req342
BACKWARDS_EXTEND req=28 onto pool day=8 type=2
COMMIT req=28 type=2 delivery=8 pickup=9 chained_from=req41
BACKWARDS_EXTEND req=291 onto pool day=9 type=2
COMMIT req=291 type=2 delivery=9 pickup=10 chained_from=req89
BACKWARDS_EXTEND req=281 onto pool day=11 type=2
COMMIT req=281 type=2 delivery=11 pickup=12 chained_from=req214
BACKWARDS_EXTEND req=165 onto pool day=13 type=2
COMMIT req=165 type=2 delivery=13 pickup=14 chained_from=req148
BACKWARDS_EXTEND req=457 onto pool day=12 type=2
COMMIT req=457 type=2 delivery=12 pickup=14 chained_from=req364
BACKWARDS_EXTEND req=125 onto pool day=14 type=2
COMMIT req=125 type=2 delivery=14 pickup=15 chained_from=req10
BACKWARDS_EXTEND req=51 onto pool day=10 type=2
COMMIT req=51 type=2 delivery=10 pickup=13 chained_from=req33
BACKWARDS_EXTEND req=340 onto pool day=16 type=2
COMMIT req=340 type=2 delivery=16 pickup=17 chained_from=req23
BACKWARDS_EXTEND req=46 onto pool day=15 type=2
COMMIT req=46 type=2 delivery=15 pickup=18 chained_from=req105
BACKWARDS_EXTEND req=184 onto pool day=18 type=2
COMMIT req=184 type=2 delivery=18 pickup=20 chained_from=req106
BACKWARDS_EXTEND req=250 onto pool day=6 type=2
COMMIT req=250 type=2 delivery=6 pickup=7 chained_from=req37
BACKWARDS_EXTEND req=311 onto pool day=5 type=2
COMMIT req=311 type=2 delivery=5 pickup=6 chained_from=req342
BACKWARDS_EXTEND req=94 onto pool day=8 type=2
COMMIT req=94 type=2 delivery=8 pickup=11 chained_from=req41
BACKWARDS_EXTEND req=314 onto pool day=9 type=2
COMMIT req=314 type=2 delivery=9 pickup=12 chained_from=req89
BACKWARDS_EXTEND req=316 onto pool day=11 type=2
COMMIT req=316 type=2 delivery=11 pickup=14 chained_from=req214
BACKWARDS_EXTEND req=242 onto pool day=13 type=2
COMMIT req=242 type=2 delivery=13 pickup=15 chained_from=req148
BACKWARDS_EXTEND req=249 onto pool day=12 type=2
COMMIT req=249 type=2 delivery=12 pickup=15 chained_from=req364
BACKWARDS_EXTEND req=183 onto pool day=14 type=2
COMMIT req=183 type=2 delivery=14 pickup=16 chained_from=req10
BACKWARDS_EXTEND req=100 onto pool day=10 type=2
COMMIT req=100 type=2 delivery=10 pickup=11 chained_from=req33
BACKWARDS_EXTEND req=419 onto pool day=16 type=2
COMMIT req=419 type=2 delivery=16 pickup=17 chained_from=req23
BACKWARDS_EXTEND req=97 onto pool day=15 type=2
COMMIT req=97 type=2 delivery=15 pickup=17 chained_from=req105
BACKWARDS_EXTEND req=176 onto pool day=18 type=2
COMMIT req=176 type=2 delivery=18 pickup=20 chained_from=req106
BACKWARDS_EXTEND req=15 onto pool day=7 type=2
COMMIT req=15 type=2 delivery=7 pickup=9 chained_from=req217
BACKWARDS_EXTEND req=444 onto pool day=17 type=2
COMMIT req=444 type=2 delivery=17 pickup=20 chained_from=req340
BACKWARDS_EXTEND req=31 onto pool day=20 type=2
COMMIT req=31 type=2 delivery=20 pickup=21 chained_from=req184
BACKWARDS_EXTEND req=343 onto pool day=6 type=2
COMMIT req=343 type=2 delivery=6 pickup=9 chained_from=req37
BACKWARDS_EXTEND req=396 onto pool day=5 type=2
COMMIT req=396 type=2 delivery=5 pickup=8 chained_from=req342
BACKWARDS_EXTEND req=173 onto pool day=8 type=2
COMMIT req=173 type=2 delivery=8 pickup=10 chained_from=req41
